,DateTime,Open,High,Low,Close,IO
,2023-09-01 09:15:00+05:30,44700.1,44793.35,44536.25,44591.95,5430,3300
,2023-09-01 10:15:00+05:30,44590.0,44800.0,44580.3,44756.6,2865,4845
,2023-09-01 11:15:00+05:30,44756.6,44809.9,44700.05,44750.6,1275,5565
,2023-09-01 12:15:00+05:30,44750.6,45050.0,44737.6,45048.0,4200,8220
,2023-09-01 13:15:00+05:30,45048.0,45220.0,45000.0,45197.85,3015,10005
,2023-09-01 14:15:00+05:30,45197.85,45230.0,45119.05,45120.0,2535,11175
,2023-09-01 15:15:00+05:30,45120.0,45147.65,45023.15,45124.15,1650,11100
,2023-09-04 09:15:00+05:30,45200.0,45294.75,45100.0,45120.0,4755,12615
,2023-09-04 10:15:00+05:30,45120.0,45208.05,45032.6,45193.7,1575,12930
,2023-09-04 11:15:00+05:30,45193.7,45238.1,45150.0,45182.95,780,13500
,2023-09-04 12:15:00+05:30,45182.95,45292.0,45182.95,45283.25,1260,14250
,2023-09-04 13:15:00+05:30,45283.25,45290.0,45200.0,45224.8,3600,15915
,2023-09-04 14:15:00+05:30,45224.8,45320.0,45204.6,45283.15,3015,18360
,2023-09-04 15:15:00+05:30,45283.15,45313.35,45283.15,45300.0,1290,19125
,2023-09-05 09:15:00+05:30,45319.25,45378.6,45276.95,45362.35,1770,19980
,2023-09-05 10:15:00+05:30,45362.35,45362.35,45250.0,45258.25,2160,20325
,2023-09-05 11:15:00+05:30,45258.25,45283.1,45180.7,45201.45,2520,21975
,2023-09-05 12:15:00+05:30,45201.45,45201.45,45139.95,45187.7,3435,23055
,2023-09-05 13:15:00+05:30,45187.7,45237.0,45141.6,45220.0,2175,24615
,2023-09-05 14:15:00+05:30,45220.0,45305.85,45220.0,45274.35,2115,25785
,2023-09-05 15:15:00+05:30,45274.35,45310.0,45250.0,45284.15,2085,26610
,2023-09-06 09:15:00+05:30,45209.95,45238.15,45170.0,45181.9,1785,27510
,2023-09-06 10:15:00+05:30,45181.9,45270.85,45170.0,45196.85,3195,29835
,2023-09-06 11:15:00+05:30,45196.85,45207.85,45088.7,45148.25,5835,33945
,2023-09-06 12:15:00+05:30,45148.25,45148.25,45017.85,45055.0,2355,34935
,2023-09-06 13:15:00+05:30,45055.0,45099.6,45010.0,45084.6,7635,39420
